subjid,gaze_sd
GYp4MrFP,0.2200078399398516
2XaDsfeM,0.22552051281723948
K31S6bT8,0.2241570911793841
qkNadhbF,0.22928469802811396
n1vXxDYs,0.2209373112044001
R9v7qHrx,0.21531775143095971
BBxM1QDY,0.2318984328224262
6nGT1ybm,0.24437265070460198
u9Qt14Jm,0.24412482110591616
LQGpNi7D,0.2433049281304895
k4cC6pwh,0.25421320689106214
aeJMLyb6,0.2422611559617426
EUxAHiEr,0.24006506489930082
1x9YDczC,0.23616836846340622
BgLq1sJ1,0.23561827682523057
MGgrMUKu,0.2406443767503606
GrsZJDKX,0.2416418177426467
5oGE59Wb,0.2397008290588021
mQznQv3L,0.24317189874714387
fVMDARgv,0.23999366460917818
LfVPsqMG,0.2365459869812454
EGhzJEUh,0.2334593839535641
aKGT29YW,0.23286666623129978
ap7k12em,0.22427456395940978
gSHtJi9p,0.2215748523137712
gXWTf5sA,0.21867422505503264
ZSnxZ2L2,0.22123175265116005
tSPeVFYf,0.21340800539516677
mfsW6vSe,0.20954523179221712
AqHS4T9M,0.24051044113327194
mMZYxrYg,0.24987062948150734
s4Rwy2SD,0.24837418178537204
hSxEg6oq,0.23134684277395662
Ut8e2pXR,0.22504358171089692
qFk91YrB,0.2231712723728995
e6nkMzP3,0.2515844047237387
CR34D5pa,0.24493634265854378
U7e1VYV9,0.2456846117366295
ukdJogYX,0.23923851983771094
Zw1z4Twd,0.23745303225698822
bhf6dmCv,0.2222572358901042
zdnufuUb,0.21847752102771256
bBXTFmfJ,0.2151163637190509
q4Wh5p5Y,0.21745132940423567
nubx8iYv,0.21617512361653957
hfSpTW5z,0.21262329101602084
9C5Nyc6q,0.25203630109193476
B91gJ4xh,0.25151699114380083
hzg886sn,0.2484017354874918
ZYmAhQNE,0.2511433228740817
6FcUYqdy,0.2510657591055078
q3xaFkTJ,0.24750221968945854
gchFwrTF,0.24437570755821966
ANFb9FiG,0.24345667760547185
JNZGszRT,0.23015067474844186
9yiWdQCp,0.2303008295978565
1VS3CARp,0.2297467423453324
1iQokkRP,0.22803106603078818
DAGv4JQ3,0.24675842793967356
8DTRvGoa,0.235558446845443
k1mQYc2K,0.23741523282606883
4a3y2t3c,0.22685023379756605
G2iDUZiL,0.21012906431256456
tx8Ch8xi,0.20902918431801576
6dmovVq7,0.24168896366583645
NnEDrydb,0.24291724921910543
UFVoyhg5,0.23105279720359784
Xdod5vVB,0.22877736686434014
bcivRP7A,0.22751021542758773
C15r3mLp,0.21974367448839804
A95xiso9,0.21182529933702635
bVss1pER,0.2142458630203908
8RZ11Unh,0.21118496118983313
GBwyCrSw,0.21688879228437852
8VqDfxRK,0.21954416578562952
PdLwuB89,0.22075037278463422
NXCpVtmw,0.21828241598248196
N5gHmwcb,0.21316384303421262
htn6UyYs,0.2313850733476821
LxXdix8q,0.25046370983807814
